Komen,Sentimen
h9 bank rame bgt ampe antri duduk toko emas luber ampe ga liat mbak2nya yg jual swalayan antri kasir naudzubilah bener bahagia kayak moga oh moga rs sepi pasien sembuh pulang utk bahagia,positive
benar2 hancur negara kelola amatir tp kenpak  indah statementnya negara miskin koordinasi gagah2an  seta salah anulir marwahmu mr  presiden,positive
budaya cari baca nanya ya udah berkali2 ga diaturgaada khusus pakai aja,negative
paruh hati iri anak yg duduk jalan ibunda paruh hati anak yg gundah ibunda sakit sabar ya kawan moga allah yg,positive
senyum hidup sempurna syukur yg tuhan ku,positive
tdr tidur sampe bgn tdr yaa kayak ngerasa aneh ga enak hati udah bawa istighfar aja bgn tdr kayak sedih kayak mikir ga puguh knp bgt coba,positive
peluk engkau erat2 rebut mu peluk ku happy anniversary syg,positive
kalo ganti presiden calon adu program kerja koalisi ditentuin cuman kaos tagar,positive
sukses n keren banget dgn no1 kualitasbhn krjaitu cita2 pu waris ampe cu2sukses tims bbpjn6 barokah limpah,positive
udah sarjana 2 kali mbokya mulut nya tinggal ajar ga nambah dosa  nyakitin hati orang mending diem2 bae kasi nya yg julidin sm orang,negative
gimana orang ga nilai dr jilbabsyaringgak nya kadang gemez sm orang yg kelas diem2 bae eh grup wa nyeletuk arah social harassment,negative
jadwal presentasi proker lppm karna praktikum ketua teman sekretaris 1 tanggung sekretaris 2 deg deg an bismillah ketua btw pen upload foto ketua yaa,positive
foto instagram lupa password instanya ngga buka  salah perintah instagram pakai password  tuh lupa khan gw,positive
drama kmarin sore  puasa trus pas lg mandi kaget bcz tamu undang pas bgt woi pas adzan maghrib trus jd galau anggap sah puasa,positive
sungguh cinta berat pisah    bikin baper tp sukses lupa laper,positive
4 pas uda kirim si kurir telp ngeluh mager nganter alamat yg bener ketemu titik yg tau gamau susah no puter hrs arah arah kendara jalan,negative
bayang betapa sulit ajar ajar ajar petik hikmah petik,positive
pasang seringkali rumah nyaman nyaman rumah pulang tuju,positive
ya tau kalo sakit hati memamg sulit nya jenjang rumah tangga publik situasi inimedia jahat selesai lontar,negative
ponakan kls 4 sd lg demen nonton video tutorial masak  craft  youtube gw kls 4 sd udah baca novel2 marga t amp mira w minjem sepupu,negative
bberapa sejahtera keluarga makmak teus tingkat suami dpet pangkat yg paham pangkat2an tni poko hidup bekecukupan,positive
dukung doa sikap sudah2 pilih upaya mempertahankannyadisini bahagia lihat sedih kebahagianku pudarseperti terima undang nikah,positive
jnejnt pake kirim paketbeli olshop jastip kota sampe beda pulau maksimal 3 sampe pake mobil susah cari alamat bingung gabisa masuk kompleksgang malem bain jalan rumah sampe paket kirim dgn,negative
gemes bgt orang yg anggap wajar leceh sexual verbal  verbal fisik,positive
hukum main musik stad haroooom hukum dosa main kirakira cakap yg pena ustad buah acara tv yg intro pake musik,negative
hebat mardani sy oeang mulut aja fakta blm capres lagipula koalisi pks gerindra nggak yaow,positive
oh iya nya ngelahirin anak 3 cewek tpi gak berapa2 nya yg aja kasih nikmat lgi uji si makmak kali berat tinggal suami tinggal singel parent,negative
z suka twitter soalny perempuan ji teman dsni biar omel sampe tablengker ndada bahaya bahas monsteration jg bebas bahas nda puasa jg bebas wa mo update status stres monsteration kt pi dl blok cowo mengupdate,positive
nggak ngerti ciwiciwi nyinyirin via vallen korban loh susah support gzz,negative
libur rencana nonton jurassic world kaya gajadi deh kondisi yg gak fit bgt sebel rusak rencana belanga sebel akutu,negative
yg nunggu anak anteng sabar luas samudra trus dateng2 bikin anak nang hmmm marah lampias,positive
ku rindu bisik mu telinga seraya kau moga kelak kau anak yg orang moga kau sayang orang tua mu,negative
hasil sekolah sekolah  mikirlah mahkamah internasional wenang adil perkara genosida dsbnya,positive
elu teh asumsi guw mah kacang kulit maksud hayo maksud loooo,negative
web permata krg profesional program cashback 10rb token pln klik info masuk program paket kuota data piye iki,positive
yg takut mas tumpang politik balut agama yg bahaya soale masyarakat sensitif dgn,positive
cerita udah kayak hancur hidup pikirin gimana hati ku sedih nang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw,positive
20hari puasa saur gak siang ke21 ngerasain makan saur supeerrr dupeerr ekspress 1menit imsak bangun yassalaaam,negative
jdi thr dri apbd kuasa takut garis kpk ggl dpt thr gitu ya buk tri bilang aman takut,negative
tolong bantu  ya lptop 2 kali gabisa buka dokumen not respondingpdhal bawa hp center smg  lptop produk gagal gimanabeli 11 maret 2018  kalo gin trs jd jgkel sndri,positive
udah masuk proses jual pas buka detail ko gin produk proses proses tgl 11,positive
semen indonesia nambang loh rembangmalah usaha yg lokasi 200 meter dr areal tambang semen protes bertahun2 lamanyaknp pas semen protes,positive
yg bilang anak senang ros sodorin anak yg tantrum karna ngantuk tp gak bobo istigfar kenceng2,positive
oon bicara orang lalai rubah siklus alur,negative
sahabat cowo 2 nih nya ga konsisten bohong sih udah berkali2 dimarahin karna bohong ga mempan2 kodrat suka bohong gimana,negative
tau libur  lebaran  tuh ken cepet gendong cerrier pake sepatu trus pergi ketemu alam damai,negative
bilang kafir gabung khilafah bro jgn alih isu selundup kaum bumidatar seolah2 pro pancasila ,positive
btw doa restu orang tua emang giling ya pas udah mentok nyari literatur nemu aja rumah kemarin udah panik kudu mesen banyumas  berkah ramadan,negative
salah contoh tau terima kasih pdhl pas sdh kenal pi wannaone ckckckc yg dl juang ma ko deh wanna ones swing entertainment warns legal action against fansite masters  via,positive
dri pgi ngerasain sakit perut kirain haid udh beli kiranti pas cek kaga  plis atulah haid skrg aja biar solat ied,negative
duka cita kawan a cak moga keluarga yg tinggal a sabar amp meridoi pergi alm,positive
jaring mati ya buka mobile jkn puskesmes trus piye kartu elektoniknya,negative
lo lahir bom sekolah bong lo pki bong bandit  rampok jenis yg menganggu orang soeharto bilang kejam orang2 pki bandit rampok bong bong bongakkk,negative
dulunya usaha skrg jd karyawan gue bawaannye pgn usaha  ga ngatur flexible lbh duit faaak,positive
salah efek rapi bom orang bikin event negara takut jogja indonesia event internasional negara konfirmasi takut rapi teror moga rapi lekas reda  moga ngga bom,positive
gubernur anies baswedan mosi tdk percaya biar lengser           ,positive
kaum oposisi bikin geger media termsk medsos rupiah kuat musim ribut khusus wkt lemah dg salah kpd presiden   ,positive
puasa tp dri pagi udah kesana kemari mmbawa alamat eh ayuting2 kalee enggk ding knpa siang2 tetangga sbelah goreng telur yah bau smpe idung gw hikss piye sih mbak,negative
heee kemarin ngeliat hoak tetang pohon plastik kali dr akun ygdisebarkan fb  nol tp skaligus nonjok muka junjung sdr  terima kasih,negative
min gimana kurir salah kirim alamat orang trs tanggung gimana tolong respon cepat thanks,positive
pas banget gue habis baca buku bule pdkt bilang cariin rumah samamobil dicariin mobil rumah mewah si bule ok niat kirim uang 100jt tp pake pos bilang hadiah tp gak masuk akal kirim pake pos,negative
uang konsumsi buka puasa bareng anak yatim bayar katering,positive
niat masjid sholat nya lantai 2 harap obob manjah krn ga yg solat fact fullhouse mpe shaf bhay,negative
excited kalo ngobrol orang kreatif kalo cengang ide pikir oh iya pikir,negative
miris  cipta karya susah payah uras pikirantenagawaktu materi kalah oknum yg jiplak danatau dar terima beres manfaat karya orang gimmik sensasi gimana,positive
belah stereotypingnya nyata coba salah bicara bagus kecam dengar suara bagus kalah keras salah,positive
tipikal cowo menye menye bgt ni ngga ajak argumen salah orang keluh ni manusia maha sempurna pen ngatain goblok puasa,positive
tiada henti 2ny q syukut alhmdllh skrg bsa uang panitia kmrn alhmdllh trmkah kau bri brlmpah mski sbrpa inysllh lma2 mmbukit amn,negative
ngomong apakayaknya dendam kpd aniespernah sakit olh gub aniessalah anies kpdmuknp dendamkamu klmpok dki42 yg tdk puny gubanies  maki2 aniessalah,negative
group keluarga udah ngomongin mudik duuh ken mudik daya suami libur 4 dr h lebaran kalo g telpon suruh masuk 2 habis sholat eid lgsg kerja,negative
orang yg kalah tarung politik sulit sembuh tdk bs raih impi sdh hilang harta,positive
nggada sinyal rumah berfikir berfikir doank pikir random,negative
khabar tuduh chat mesum imam habib rizieq sdh henti mohon bantu doa moga moga suci ramadhan buka mata hati bapak2 yg menyidikamin,positive
ngecengin gua ya gaes    orang udah blog ya nulisnya nggak jam 2 dinihari sih,negative
cari orang2 yg sudut ansor sabar bagus tp fitnah salah tinggal diam,positive
halohaa selamat siang denise udah pulang sekolah nih  lupa makan siang ya oh iya gimana udah sehat  kalo emang sehat ya banyakin istirahat aja kk nunggu tweet k,negative
bodoh mu bong suruh baca baca pbb cikal masyumi  pbb keluarga bintang  masyumi dasar bong200,negative
mudah2an terupload smua z mudik karna fans modal quota butuh daerah jaring bagus hiksss hitung jam br slsi kalo z mo donlot rumah pi,positive
orang dukung khilafah black mail              ,negative
sok akrab ye mention mention gue  maling aje yg bener kalo udah sukses malingnye gue bales mentionan lu lu   ,negative
alhamdulillah prof bicara malam  adem moga bawa berkah aamiin yaa rabbal aalamiin,positive
